question,answer,comment
Is there commitment and support from Top Management regarding cyber security management? ,yes,there is a formal document
"Is there regular reporting regarding ""Cyber Security"" to Company Management (DIC and/or BOD)? ",yes,montly
"Does your company carry out regular ""Gap Assessments"" on IT Security Management compared to the following International Security Framework?",yes,International Organization for Standardization (ISO) 27001; National Institute of Standards and Technology (NIST); and Central of Internet Security (CIS) AWS Trusted Advisor AWS Snapshot
Does your company have a policy/procedure/standard regarding IT Security?,yes,we have policies/procedures/standards regarding the following matters: Information Security Policy; Data Governance; Data Privacy; Antivirus/Antimalware; User Access Management; Password Management; Patch Management; Secure Development Secure Programming Standard; Security Configuration Standard (application; database; & infrastructure); Security Hardening; Vulnerability Assessment; Penetration Testing; Information Security Incident Management; IT Asset Management; Backup & Restore; Mobile Device Security Bring Your Own Device (BYOD) (settings include implementation details; or prohibitions; as well as special permits if there are exceptions); Physical & Environmental Security; Cryptography; System Logging Monitoring (including Security Event Management); Information classification (identification; classification; labeling; and handling); Remote Access Control; Email security; SOC
Has a periodic review and update been carried out (at least once a year) regarding cyber risk assessment?,yes,cyber risk assessments are conducted periodically
Does your company store customer data in the following categories?,yes,Personally Identifiable Information (PII); Name; address; identity number (eg: KTP/Passport & NPWP); date and place of birth; biological mother's name; biometric records; Bank account; debit/credit card number; geotagging data; and others. Protected Health Information (PHI): medical history data; medical test/treatment results; insurance information; medical claim receipt; and others. Operational Data: sales and service transactional data; customer activity data. Financial Data: financial reports; tax report; salary data/payslip; bank account information; and others. 
Has your company implemented several security controls on the network?,yes,Secure Network Configuration; Firewall Technology; Anti Distributed Denial of Service; Application Delivery Control; Domain Name System (DNS) Security; War Driving is not applicable -> Wifi authentication using SSO
Has your company implemented several security controls on email services?,yes,SMTP; SPF; DMARC; DKIM; Antivirus/Antimalware; Antispam; MFA; Tags or mark e-mail from outside of the organization; Email containing sensitive information is encrypted and protected; S/Mime
Does your company have implemented some security controls on the server?,yes,Administrator Account Restriction; Multi Environment Server; Endpoint Firewall for Server on Premise; Endpoint Firewall for Cloud Server; Cloud Security Assessment System
Has your company implemented several security controls for clients?,yes,Local Administrator account restriction; Removable Media Storage restriction; Antivirus/antimalware; End-point Detection Response (EDR)
Has your company implemented several security controls on the application?,yes,Secure programming Audit trail/audit log transactions (example: data retention is at least 30 days); Audit trail/audit log activity for user accounts including account privileges (example: data retention is at least 30 days); Transport Layer Security (TLS) protocol (minimum version 1.2) with secure cipher; Web Apps only use secure protocols (https) Hashing for passwords; Encryption for confidential data (eg payroll data; sub goals; etc.); Three tier system architecture (client-server system/application); Multi Factor Authentication (MFA) to log in from the internet network (for Internal Apps can be access from the Internet); Captcha on Login; Form Static Application Security Testing (SAST); Dynamic Application Security Testing (DAST); Testing security features/functions of purchased software before it is used by operations. 
Has your company implemented several security controls in IT asset management (hardware & software including license)?,yes,Complete & valid IT asset Inventory System; Regular stock take; Software Asset Management Tools (SAM Tools); Standar spesifikasi hardware; Standard Software & Hardware Specification
"Has your company managed ""Patch Management"" and ""Antivirus"" adequately?",yes,"Routine patch update. Testing patches before deploying to production Disabling the automatic patch updates feature on systems and applications in production environments Routine monitoring of the patch deployment process Monitoring and review regarding status updates for ""Endpoint Antivirus"" (eg at least weekly) Follow up ""Endpoint Antivirus"" with offline status and/or outdated signature > 3 days"
Has your company carried out a Vulnerability Assessment (VA) and Penetration Testing (Pentest)?,yes,VA carried out regularly (compliance policy check and vulnerability and port scanning from Intranet); Regular Port scanning from Internet; Pentest carried out regularly Perimeter tests are carried out regularly Remediation Time (due date) to solve other vulnerabilities
"Has your company implemented ""System Hardening"" adequately?",yes,Security Configuration standards Regular Configuration Compliance Review Hardening of IT infrastructure before use in operations
"Does your company have implemented a ""Personnel Security"" & ""IT Security Awareness"" program?",yes,Every employee (permanent/contract/outsource) has signed a contract/non Disclosure Agreement (NDA) regarding the obligation to maintain the confidentiality/security of information. There are formal disciplinary rules/rules from HC/HR for employees who are proven to have committed violations. which causes data leaks. Providing regular awareness to new and existing employees at NEOP (for example: in the form of e-posters; emails; screensavers; etc.) at least annually Awareness training programs (for example online video training; seminars; workshops ; etc.) minimum carried out annually Regular phishing testing (minimum 1 or 2 times a year) Regular spear/targeted phishing testing (minimum annually) Phishing awareness and testing for Managerial Up Level Users (Manager; General Manager; Chief; BOD; and BOC including the secretary) Routine evaluation of program awareness Phishing Report Button Providing routine awareness & training at least once a year regarding data privacy to personnel who have authorization to access and process data personnel.
What is the organizational IT level in your company?,yes,Corporate Functions
Does your company have PIC IT Security?,yes,Exist and dedicated
Does this service include any Business Process Outsourcing (eg Claims Handling Accounts Payable Data Analytics etc.),no,no
Is this service providing just infrastructure?,no,no
Is the service managing/processing data or providing a managed application,no,no
Will the vendor use another 3rd party for any part of this service ,no,no
Is the service developing (writing code) an application/software for this service,no,no
Do you have a security policy in place,yes,We have documented Information Security Policy and Procedure
Do you have staff responsible for the implementation of information security within the organization,yes,Implementation of information security is under responsibility of Information Security and Data Privacy (ISDP) Department
Are you accredited to a recognized Information Security Standard,yes,We have obtain certification in ISO 27001 and ISO 27701
Do you educate employees on Information Security policies and procedures on at least an annual basis,yes,Information security awareness training provided during on-boarding for new employees and quarterly program for existing employees.
Is there an inventory of all IT assets drawn up and maintained,yes,We have IT Asset inventory and maintained/updated regularly.
Do you have a defined Data Handling procedure in relation to how third-party data should be handled,yes,we have data handling procedure
Do you have a formal IT asset decommissioning process in place including secure destruction of all electronic media,yes,We have documented disposal procedure.
Do you have an Access Management Policy documented and implemented,yes,Access Management policy is part of our SMKI (Sistem Manajemen Keamanan Informasi) Policy
Do developers have ongoing access to perform changes in any production environments containing PII financial or other confidential data,no,no
Do you have a process in place for detection of unauthorized hardware and software,no,We have implemented tool to detect any unauthorized software.
Do you have the ability to encrypt Astra International's data,yes,We implement AES256 and TLS 1.2 encryption for data at rest and data in transit
Will mobile devices inc. laptops & tablets be used for this service,yes,yes we perform system hardening before use.
Do you secure physical access to offices data centers or other storage areas where Astra International data will be stored/accessed,yes,Storage of Astra's data will be located at AWS cloud storage the physical security will follow AWS's high standard. AWS has obtained ISO27001 and SOC 2 type 2 standard.
Do you have a change management process to manage approve and track IT changes,yes,We have documented change management process as part of SMKI
Do you operate a system hardening process to ensure that systems are securely configured,yes,yes we perform system hardening before use.
Do you deploy anti-virus anti-malware and anti-spyware across all platforms and services,yes,We use EDR solution for workstation and anti-virus anti-malware anti-spyware.
Do you have a Patch management process that includes security patches and application and operating system patching,yes,yes
Do you backup business data securely,yes,Our data securedly store at AWS Cloud with automatic backup performed regularly..
Are all production systems monitored for availability performance and capacity,yes,Production system located at AWS Cloud where the availability performance and capacity regularly montored and reported to Halodoc.
Do you have appropriate firewalls to protect applications network infrastructure and access and egress points ,yes,We have implemeted firewall
Do you have secure software development processes in place,yes,We have developed and implemented Secure System Engineering Principles to ensure secure development processes in place.
Is security testing code reviews vulnerability scanning and sign-off part of the process and completed prior to 'go live',yes,yes
Would you share your secure development and testing procedures with Astra International,yes,Can be shared during screen-sharing session (meeting) 
Do you have an information security incident management process,yes,We have documented Cybersecurity Incident Management Playbook.
Do you re-assess exposure to information security and privacy threats at least yearly and enhance technology risk controls in response to change,yes,We review the SMKI Policy and Procedure yearly and we have implemented threat intelligence tool to ensure updated threats are always being anticipated.
Do you track and manage flow of sensitive information,yes,We have implemented control over sensitive information by documented policies and procedure and Data Privacy Impact Assessment process.
Do you have monitoring systems implemented to detect and respond to unauthorized activity to the systems storing Astra International data,yes,We have implemented SOC to monitor any unauthorized activity in 24x7 monitoring.
Do you undertake penetration tests on at least an annual basis. Has a penetration test been performed during the last 12 months that covers the services being provided to Astra International.,yes,We regularly performed penetration test by our 3rd party.
Do you have a functional capability in place to Identify specific individual / customer records,yes,yes
Do you have a functional capability in place to delete data related to a specific individual(s) from your systems (including backups),yes,yes
